Start Date,Start Time 30 Minute Period,pre_price_growth,forecast_error_change,net_demand_growth,actual_price_growth_DAM,actual_price_growth_IDA1,actual_price_growth_IDA2,actual_price_growth_IDA3,actual_price_growth_BM
01/04/2019,00:30:00,-0.39885304659498205,-0.019594928371480323,-0.004529616724738676,0.0,-0.023255813953488372,,,0.33178072375492645
01/04/2019,01:00:00,0.07799074686054189,-0.02187447417129396,-0.02207977207977208,0.0,0.0,,,0.016907361747093938
01/04/2019,01:30:00,0.004511702227652879,-0.028734637355028562,-0.006091006807595844,0.0,0.0,,,0.13074096754439682
01/04/2019,02:00:00,0.03858666184709919,-0.024472424188685938,-0.006491164803461955,0.16692452336181654,0.07885435187763795,,,0.060684498130572515
01/04/2019,02:30:00,0.10370634354953703,-0.018053800324968405,-0.009097525473071324,0.0,0.0,,,0.408371618172537
01/04/2019,03:00:00,0.16275158682797153,-0.0187603457789222,-0.006962257237083181,-0.13548648648648642,-0.014804347826087362,,,0.10041328639216279
01/04/2019,03:30:00,0.005838333445695072,-0.008719851576994434,-0.014121144555927164,0.0,-0.022222222222222223,,,0.00457108029864387
01/04/2019,04:00:00,-0.004741583688951985,-0.012396694214876033,-0.005981308411214953,0.041699041699041685,-0.022727272727272728,,,-0.6358424725822532
01/04/2019,04:30:00,-0.20288438034710352,-0.008142397273243705,0.002981736861721953,0.0,0.022222222222222223,,,0.03255365324330845
01/04/2019,05:00:00,0.01878797569555497,0.007517383950385266,0.026134301270417423,0.20385186407126388,0.1509433962264151,,,-0.2927057356608482
01/04/2019,05:30:00,0.06360424028268538,0.01935127165499447,0.028903771589707437,0.0,-0.006341852428512493,,,-0.0018738288569640242
01/04/2019,06:00:00,-0.0029583577360303287,0.033831908831908834,0.07317869977131657,0.01028571428571395,0.02470370370370442,,,0.3928706863860447
01/04/2019,06:30:00,0.14484397072043154,0.07843780767968493,0.07717817304793488,0.0,-0.05427567356501325,,,-0.3485042188698541
01/04/2019,07:00:00,-0.11777793727122621,0.08799760550733314,0.10689283791060851,0.27941176470588236,0.26859917178352094,,,0.12681402098682726
01/04/2019,07:30:00,0.23788425773985303,0.10055189123704401,0.09744835965978128,0.0,0.027361111111111294,,,0.4084786053882727
01/04/2019,08:00:00,0.15251251622473605,0.0978749241044323,0.0744489428699955,0.1282051282051282,0.14285714285714285,,,-0.9145385587863465
01/04/2019,08:30:00,-0.07030513520218323,0.06886024423337857,0.03494682005643586,0.0,0.0,,,0.4836140488314402
01/04/2019,09:00:00,0.15524540005867818,0.027918223785447352,0.018115942028985508,0.03009201691121648,0.023255813953488372,,,0.23851660369854824
01/04/2019,09:30:00,0.1064044943820223,0.012696690179055886,0.015526647083508182,0.0,0.0,,,0.24038969866324295
01/04/2019,10:00:00,0.10651541009938774,0.009885032771032556,-0.011460101867572157,0.012281994595922373,-0.023809523809523808,,,-0.035747809762202584
01/04/2019,10:30:00,-0.01899338470981384,-0.016491917868064657,-0.004262574595055414,0.0,-0.012048192771084338,,,-0.015005954743946127
01/04/2019,11:00:00,-0.00995281881737099,0.0036996735582154514,-0.020665651511855558,-0.017750000000000377,0.0,1.0,,-0.006231525125828882
01/04/2019,11:30:00,-0.048730936966709125,-0.019223659889094337,-0.004150283966797728,0.0,-0.024691358024691357,-0.012525313132827901,,0.0
01/04/2019,12:00:00,-0.008198422581984095,0.004856154808329041,-0.01126573889993373,-0.20120120120120183,-0.1574735638753929,-0.23073846153846206,,-0.43691883825048794
01/04/2019,12:30:00,-0.26837784474696064,-0.03582044051520449,-0.00824053452115813,0.0,-0.07003058103975486,-0.04838709677419355,,0.3303351783517836
01/04/2019,13:00:00,0.10920143174524821,0.002736186060652124,-0.02161547212741752,-0.351735335904201,-0.29019530479384475,-0.27336208667077344,,-0.2862652032037973
01/04/2019,13:30:00,-0.29746176635439175,-0.05029137063941885,-0.03290246768507638,0.0,-0.028779022568599506,-0.1875609756097569,,-0.5981352718078382
01/04/2019,14:00:00,-0.23152320754158864,-0.026803278688524702,-0.015755550250656482,-0.06621943302315457,-0.06626271369833331,-0.009603545924649293,,0.1476293103448276
01/04/2019,14:30:00,0.021459931490326933,-0.0457740442310988,-0.011103065411537534,0.0,-0.07465116279069803,-0.04670343832156272,,0.04453024453024463
01/04/2019,15:00:00,-0.007593287572675888,0.0010275732145915396,-0.023215608792294392,-0.05850284038849291,-0.04878048780487805,-0.062493153686055736,,-0.006216006216006082
01/04/2019,15:30:00,-0.03687648695511932,-0.032263767347299646,-0.020156210632401108,0.0,-0.00925561244584441,0.0302998114560379,,-0.213960069171514
01/04/2019,16:00:00,-0.06922774283604692,0.010236220472440945,-0.006338742393509128,0.05068823798029961,0.08471521268925718,0.029408732408886827,,0.14754757437684263
01/04/2019,16:30:00,0.0895141543459167,-0.003776236058663308,0.03734439834024896,0.0,0.030536018522563216,0.06076304831993798,,-0.006067143049750611
01/04/2019,17:00:00,0.016685404372560268,0.029902879536547963,0.017270328615975054,0.24369706438615257,0.20315382740975346,0.17727897388914401,1.0,0.2053781872723378
01/04/2019,17:30:00,0.19698597058969403,0.010265815046691464,0.01138249940716149,0.0,0.012766981115866327,0.0833424617519248,0.00016444663706612254,0.27609740964789825
01/04/2019,18:00:00,0.11255866155378172,0.016910164749766865,-0.03206069505628977,0.15214178147135837,0.16837667905115697,0.15936646305902574,0.15211935303959914,-0.0335871743486976
01/04/2019,18:30:00,0.09867501066140333,-0.021529277276768705,-0.056086844145774105,0.0,0.0007139797229756241,0.04179411764705943,0.0,-0.11923560021532395
