Start Date,Start Time 30 Minute Period,pre_price_growth,net_demand_growth,actual_price_growth_DAM,actual_price_growth_IDA1,actual_price_growth_IDA2,actual_price_growth_IDA3,actual_price_growth_BM
01/10/2019,00:30:00,-0.08596300326441789,-0.011235955056179775,0.0,-0.36124999999999946,,,-1.0027223230490019
01/10/2019,01:00:00,-0.3130655659628509,-0.035931174089068825,-0.13101496158511947,0.0,,,-0.8489932885906036
01/10/2019,01:30:00,-0.15176449076613632,-0.03890641430073607,0.0,0.0,,,0.6000000000000001
01/10/2019,02:00:00,0.1404997642621405,0.043740573152337855,0.0,0.0,,,0.40280561122244485
01/10/2019,02:30:00,0.13640065146579794,0.011922503725782414,0.0,0.0,,,0.16888740839440375
01/10/2019,03:00:00,0.06438095238095243,-0.019756838905775075,-0.01186579378068721,-0.013941698352344819,,,0.5428658443733821
01/10/2019,03:30:00,0.30787484619441025,-0.0025393600812595226,0.0,0.008378718056137529,,,0.12252805986103706
01/10/2019,04:00:00,0.07608607389362584,-0.014948453608247423,0.011726647796198765,0.005416666666666625,,,-1.36685641998735
01/10/2019,04:30:00,-0.5326695706285006,-0.029177718832891247,0.0,0.0,,,-0.1838262822912765
01/10/2019,05:00:00,-0.06508483563096486,-0.006944444444444444,0.14724137931034445,0.26538108356290147,,,-0.06245027844073205
01/10/2019,05:30:00,0.13097569404446466,0.012137203166226913,0.0,0.010000000000000378,,,0.07026627218934894
01/10/2019,06:00:00,0.02504492362982926,0.02369912416280268,0.1894913359418665,0.07769703745108947,,,-0.285171102661597
01/10/2019,06:30:00,0.038444924406047104,0.03576751117734724,0.0,0.0,,,0.1345125462772523
01/10/2019,07:00:00,0.034108688849483794,0.15349032800672835,0.19973160366808393,0.23218884120171696,,,0.7134944018856806
01/10/2019,07:30:00,0.4557788374205271,0.12509197939661515,0.0,0.1678571428571431,,,-0.3825973602737496
01/10/2019,08:00:00,-0.08687068114511355,0.04396763981709462,0.05535601098668871,-0.197348727816977,,,-0.4352198316183349
01/10/2019,08:30:00,-0.18427590238199637,-0.01282508015675098,0.0,-0.03887161261661485,,,-0.3169079149984601
01/10/2019,09:00:00,-0.0964589008171768,-0.011531531531531532,-0.0759263468970218,-0.046976744186046256,,,0.09780494581828293
01/10/2019,09:30:00,-0.014961782403642605,-0.012773722627737226,0.0,-0.10171662823469184,,,-0.3637741568776054
01/10/2019,10:00:00,-0.12402888218627224,-0.035916824196597356,-0.05163758068371991,-0.02333508127949605,,,0.21784232365145242
01/10/2019,10:30:00,0.03781549555887813,-0.0496031746031746,0.0,-0.03669475400924208,,,-0.705763397371082
01/10/2019,11:00:00,-0.15558943089430938,-0.02231237322515213,-0.06518971224853604,-0.04250495891187307,1.0,,-3.0616016427104724
01/10/2019,11:30:00,-0.15482792007745805,-0.02197346600331675,0.0,0.0,-0.027351968740606847,,0.3740359897172237
01/10/2019,12:00:00,0.01729954156214861,0.02150101419878296,-0.027741428945301582,0.0,0.0065691251119741135,,0.5179677819083023
01/10/2019,12:30:00,0.06107366198327014,0.00684931506849315,0.0,0.0,-0.03555967841682054,,0.4643212744772651
01/10/2019,13:00:00,0.0944325954254616,-0.0397989107666527,-0.03916236062007143,0.0,0.01999999999999925,,0.3942501005227182
01/10/2019,13:30:00,0.12164082687338473,-0.03557483731019523,0.0,0.0,0.0,,0.11257805530776097
01/10/2019,14:00:00,0.03916578735025761,0.011578044596912522,-0.0027270248159258644,0.0,-0.020408163265305344,,0.019590694420150503
01/10/2019,14:30:00,0.0022295163188210936,-0.04997748761819001,0.0,-0.015539568345323308,0.0,,-0.1347757046447004
01/10/2019,15:00:00,-0.04755417153237324,0.0031418312387791743,0.08164287503130477,0.015301785208273879,0.0454545454545448,,-1.9548387096774191
01/10/2019,15:30:00,-0.22187871581450702,0.015030946065428824,0.0,0.0,0.0,,-0.14969656102494946
01/10/2019,16:00:00,-0.01791333817477608,0.055532359081419624,0.0893956670467505,0.046216216216216625,0.03420752565564451,,-4.95582329317269
01/10/2019,16:30:00,-0.04652930248268842,0.09039118875807065,0.0,0.17594654788418718,0.18418604651162762,,0.9544706527701591
01/10/2019,17:00:00,0.3648358721304441,0.0777583187390543,0.10327198364008215,0.03128371089536114,-0.025763358778625914,1.0,-0.06070597362296345
01/10/2019,17:30:00,-0.014451747703826106,0.0712426805465192,0.0,0.16184448462929438,0.17803921568627448,0.16155419222903908,0.008461538461538418
01/10/2019,18:00:00,0.10296759078484967,0.03907471084713973,0.08955501768758159,-0.11830131445904836,-0.02,0.021021021021021238,-0.031541360841103025
01/10/2019,18:30:00,-0.01017671189649714,0.06105077781039037,0.0,0.035310183378852396,0.0196078431372549,0.07000558555203866,-0.041098719537380986
01/10/2019,19:00:00,0.01774506005424261,0.0485897793912315,0.034860736747529146,-0.012043435340572261,0.022051773729626453,0.034860736747529146,-0.45187406296851595
01/10/2019,19:30:00,-0.043038997777328794,0.07059434207111341,0.0,0.0,-0.0036566589684372142,0.0,0.07872928176795566
01/10/2019,20:00:00,0.010635320458997968,0.012557662737057919,-0.06121281464530863,-0.02447411003236203,0.003261078074045958,-0.05000000000000038,0.260771901163978
01/10/2019,20:30:00,0.0229314790217987,-0.010619010619010619,0.0,-0.07152145643693146,-0.10914893617021358,-0.010678871090769763,0.18789386401326708
01/10/2019,21:00:00,0.009058532053267057,-0.027408195848855774,-0.1630073186959423,0.04865979381443269,0.020833333333333332,-0.0904553961322528,0.2345773038842344
